date,ruonia
30.06.2015,12.4
29.06.2015,12.3
26.06.2015,12.26
25.06.2015,12.12
24.06.2015,11.86
23.06.2015,11.99
22.06.2015,12.05
19.06.2015,12.03
18.06.2015,12.18
17.06.2015,12.17
16.06.2015,12.06
15.06.2015,12.75
11.06.2015,12.69
10.06.2015,13.03
09.06.2015,13.12
08.06.2015,13.1
05.06.2015,13.06
04.06.2015,13.25
03.06.2015,12.74
02.06.2015,12.52
01.06.2015,12.8
29.05.2015,13.19
28.05.2015,12.99
27.05.2015,13.03
26.05.2015,13.03
25.05.2015,12.78
22.05.2015,12.26
21.05.2015,12.01
20.05.2015,12.43
19.05.2015,13.19
18.05.2015,13.27
15.05.2015,13.23
14.05.2015,13.15
13.05.2015,13.08
12.05.2015,12.79
08.05.2015,11.74
07.05.2015,12.21
06.05.2015,12.81
05.05.2015,13.11
30.04.2015,14.45
29.04.2015,14.8
28.04.2015,14.57
27.04.2015,14.6
24.04.2015,14
23.04.2015,13.51
22.04.2015,14.47
21.04.2015,14.97
20.04.2015,14.99
17.04.2015,14.78
16.04.2015,14.85
15.04.2015,14.77
14.04.2015,14.74
13.04.2015,14.71
10.04.2015,14.24
09.04.2015,13.55
08.04.2015,13.73
07.04.2015,13.75
06.04.2015,14.01
03.04.2015,14.16
02.04.2015,14.26
01.04.2015,14.27
31.03.2015,14.66
30.03.2015,14.63
27.03.2015,14.73
26.03.2015,14.69
25.03.2015,14.7
24.03.2015,14.5
23.03.2015,14.45
20.03.2015,14.51
19.03.2015,14.75
18.03.2015,14.76
17.03.2015,14.34
16.03.2015,14.05
13.03.2015,14.33
12.03.2015,14.71
11.03.2015,15.18
10.03.2015,15.5
06.03.2015,14.56
05.03.2015,15.49
04.03.2015,15.59
03.03.2015,15.5
02.03.2015,15.7
27.02.2015,15.49
26.02.2015,15.54
25.02.2015,15.47
24.02.2015,14.99
20.02.2015,15.01
19.02.2015,15
18.02.2015,14.98
17.02.2015,15.42
16.02.2015,15.15
13.02.2015,15.23
12.02.2015,15.24
11.02.2015,15.34
10.02.2015,15.47
09.02.2015,14.85
06.02.2015,14.58
05.02.2015,14.59
04.02.2015,14.82
03.02.2015,14.85
02.02.2015,14.95
30.01.2015,16.63
29.01.2015,16.74
28.01.2015,16.8
27.01.2015,16.97
26.01.2015,16.86
23.01.2015,16.81
22.01.2015,16.85
21.01.2015,16.91
20.01.2015,16.97
19.01.2015,16.96
16.01.2015,16.93
15.01.2015,17.1
14.01.2015,17.07
13.01.2015,17.19
12.01.2015,17.55
