date,curs
23/08/2018,67.6163
24/08/2018,68.5259
25/08/2018,67.7911
28/08/2018,67.3963
29/08/2018,67.3911
30/08/2018,68.1451
31/08/2018,68.0821
01/09/2018,68.0447
04/09/2018,67.7443
05/09/2018,68.2737
06/09/2018,68.4628
07/09/2018,68.2505
08/09/2018,69.0286
11/09/2018,69.8685
12/09/2018,69.9744
13/09/2018,69.5728
14/09/2018,68.6370
15/09/2018,68.2826
18/09/2018,68.1958
19/09/2018,67.7519
20/09/2018,67.0098
21/09/2018,66.4725
22/09/2018,66.2497
25/09/2018,66.1594
26/09/2018,65.8244
27/09/2018,65.7585
28/09/2018,65.8355
29/09/2018,65.5906
02/10/2018,65.5745
03/10/2018,65.2221
04/10/2018,65.4244
05/10/2018,66.2115
06/10/2018,66.6270
09/10/2018,66.9685
10/10/2018,66.4032
11/10/2018,66.1832
12/10/2018,66.7727
13/10/2018,65.9751
16/10/2018,65.7508
17/10/2018,65.5305
18/10/2018,65.4026
19/10/2018,65.7238
20/10/2018,65.8140
23/10/2018,65.3065
24/10/2018,65.3101
25/10/2018,65.6299
26/10/2018,65.7476
27/10/2018,65.6345
30/10/2018,65.8129
31/10/2018,65.7742
01/11/2018,65.5962
02/11/2018,65.6517
03/11/2018,65.5799
07/11/2018,65.9912
08/11/2018,66.0918
09/11/2018,66.2155
10/11/2018,66.8497
13/11/2018,67.5238
14/11/2018,67.6812
15/11/2018,67.9975
16/11/2018,66.6159
17/11/2018,65.9931
20/11/2018,66.0081
21/11/2018,65.5871
22/11/2018,65.9485
23/11/2018,65.6067
24/11/2018,65.6664
27/11/2018,66.5072
28/11/2018,66.7800
29/11/2018,66.9436
30/11/2018,66.6342
01/12/2018,66.5335
04/12/2018,66.2921
05/12/2018,66.4467
06/12/2018,66.8242
07/12/2018,66.7377
08/12/2018,66.9227
11/12/2018,66.2416
12/12/2018,66.5022
13/12/2018,66.4225
14/12/2018,66.2550
15/12/2018,66.4337
18/12/2018,66.6208
19/12/2018,66.7454
20/12/2018,67.1121
21/12/2018,67.3710
22/12/2018,68.0085
25/12/2018,68.4073
26/12/2018,68.7448
27/12/2018,68.8865
28/12/2018,68.8762
29/12/2018,69.5218
30/12/2018,69.4706
